sentence,class
Support and assess ongoing methods for captive propagation efforts and subsequent augmentation/reintroduction efforts.,Recommendation
Develop new rangewide database and maps with partners.,Recommendation
"Currently, there are no insects listed as threatened or endangered under the California Endangered Species Act.",Non-target
"Historically, urban development and fragmentation have greatly reduced available habitat for the species",Threat
"At the time of listing, urban development and highway construction were listed as primary threats, in addition to drought, natural climate change, and overgrazing (Service 1987, pp. 35376–35377).",Threat
"An additional threat new to this status review is fire retardant, which could adversely modify serpentine grassland habitats (Service in litt. 2020).",Threat
Create a Bay checkerspot butterfly or Bay Area butterfly Recovery Implementation Team.,Recommendation
Continue to protect and manage habitat for the Bay checkerspot butterfly.,Recommendation
Follow best practices for conservation translocations.,Recommendation
"Assess monitoring methods, ability to reproduce results, and efficiency for small populations.",Recommendation
Some of the recovery actions identified in the plan are being implemented,Non-target
"Funding is needed for surveys for additional occupied caves or restorable cave systems, equipment for maintaining consistent high humidity within the Dark Zone and for increasing relative humidity within Stagnant Air Zones, for restoring land above caves, and for additional monitoring of known caves.",Recommendation
"Habitat requirements research – Conduct research to address essential conservation needs to the species, including non-damaging mark recapture studies.",Recommendation
 Surveys / inventories – Conduct surveys for additional occupied habitat or restorable cave habitat.,Recommendation
Determine and establish recovery criteria in a recovery plan for the fragile tree snail.,Recommendation
"Surveys and inventories- Determine the current population size, structure and distribution of the fragile tree snail on each island within the species current and historical range.",Recommendation
Habitat degradation and loss- Control and monitor land clearing and prevent wildfires to preserve the native forest habitat for this species. Reforest native flora and control ungulates in the habitat were snails are found will allow the required preservation of this species.,Recommendation
"Habitat loss due to development and ungulate damage, as well as predation by the manokwari flatworm, are the most significant threats and remain far from being controlled.",Threat
"For our assessment, we assumed that populations of the Bone Cave harvestman, given adequate geological connectivity, are capable of subterranean dispersal and gene flow among karst features.",Non-target
"Urban, suburban, and exurban development in the rapidly growing Austin-Round Rock metropolitan area has resulted in loss and degradation of surface and subsurface habitats and is an ongoing source of stressors for the species.",Threat
"Following submission, review needed information to recognize Millennium, Shaman, and Wilco Karst Preserves as karst fauna areas.",Recommendation
"Draft quantitative delisting criteria for the Bone Cave harvestman and other listed karst invertebrates in Travis and Williamson counties, Texas.",Recommendation
Assess genetic variation of Bone Cave harvestman populations across their range and evaluate in light of north to south morphological variation.,Recommendation
"Continuing threats from a suite of stressors—coal mining, urbanization, agriculture, and toxic chemical spills—may compromise the continued existence of the shiny pigtoe throughout its range.",Threat
An emerging threat is the increasing prevalence of pharmaceutical and related substances in surface waters.,Threat
"Impoundments, spills, and other human-induced changes are a significant threat to aquatic organisms due to the genetic concerns associated with small, geographically isolated populations.",Threat
"Primary threats to the species (e.g., from coal mining, urbanization, agriculture, toxic chemical spills) remain similar to what they were in 1976 when it was listed as endangered and to what they were in 1984 when the Recovery Plan (USFWS 1984) was written.",Threat
Climate change may pose a threat to the larval host plant of this species.,Threat
"In general, fire is a threat to Drosophila digressa because individuals or their habitat range are located in or near areas at risk for fire due to volcanic activity, drought, or the presence of highly flammable nonnative grasses and shrubs.",Threat
"The listing rule speculated that human activities, such as fish management, logging, beaver control, dredging, stream pollution, and general stream degradation, have likely contributed to the reduction of HCWB habitat.",Threat
"Other threats identified include amateur collections, disease, or predation.",Threat
4(d) rule to exempt some potential take associated with routine livestock operations and recreation trail maintenance on non-Federal lands,Non-target
"In accordance with section 4(c)(2) of the Endangered Species Act of 1973, as amended (Act), the purpose of a 5-year review is to assess each threatened or endangered species to determine whether its status has changed and it should be classified differently or removed from the Lists of Threatened and Endangered Wildlife and Plants.",Non-target
"The SSA report represents our evaluation of the best available scientific information, including the resource needs and the current and future condition of the species.",Non-target
"We have updated the definition of a “population” since the time of listing based on the dispersal distance between known observation points which has caused some observation points to be grouped into a single population, while other observation points have been split into multiple subpopulations.",Non-target
"Other new potential threats have been identified through research, such as a slower growth rate for Dakota skippers forced to feed on sub-optimum larval food plants such as invasive Kentucky bluegrass and smooth brome.",Threat
"Understand key aspects of Dakota skipper life history, including",Recommendation
"Understand the effects of non-native species on habitat quality, and the species’ response to varying levels of habitat quality and quantity",Recommendation
"Through surveys carried out at Concord Pine Barrens, New Hampshire, within native and restored wild lupine (Lupinus perennis) KBB habitat, Pascale and Thiet (2016, p. 633) found that both native and restored wild lupine (Lupinus perennis) supported both KBBs and larval-tending ants.",Non-target
Invasive plants are not considered a significant threat at this time to KBB habitat.,Non-target
"Other threats present at the time of listing, such as loss of habitat due to natural succession, lack of management, invasive species and commercial, industrial and residential development, also continue to persist for the species.",Threat
"Data for this review were solicited from interested parties through a Federal Register notice announcing this review on July 26, 2019",Non-target
"The Ohlone tiger beetle is a member of the Coleopteran family Cicindelidae (tiger beetles) and is endemic to Santa Cruz County, California.",Non-target
"At the time of listing in 2001, 16 occurrences of the Ohlone tiger beetle were known from 5 geographic areas (Table 1).",Non-target
It should be noted that surveys are not routinely conducted at all previously known locations.,Non-target
This 5-year review was conducted by the U.S. Fish and Wildlife Service’s (Service) Ventura Fish and Wildlife Office.,Non-target
"After reviewing the best available scientific information, we conclude that the Ohlone tiger beetle remains an endangered species.",Non-target
"Other threats identified at time of listing were unrestricted collecting, predation and parasitism, inadequacy of existing regulatory mechanisms, stochastic events, recreational activities, and use of pesticides.",Threat
"Enhance existing and potential habitat throughout the species range, as necessary, through removal of invasive species, grazing, burning, planting, or other management actions deemed appropriate by the Service.",Recommendation
Investigate and implement the translocation of individuals between populations to ensure genetic diversity.,Recommendation
Work with the City of Santa Cruz to develop coastal prairie management plans for City owned properties.,Recommendation
"Work with the University of California, Santa Cruz (UCSC) to ensure potential and suitable habitats on UCSC lands are managed for the benefit of the species",Recommendation
"We announced initiation of this review in the Federal Register on May 7, 2018 (83 FR 20092) with a 60-day comment period.",Non-target
Primary threats include habitat destruction and modification due to development or effects of agriculture in the area of the associated creeks.,Threat
Our original listing as endangered or threatened is based on the species’ status considering the five threat factors described in section 4(a)(1) of the Act.,Non-target
These same five factors are considered in any subsequent reclassification or delisting decisions.,Non-target
"The Service provides notice of status reviews via the Federal Register and requests new information on the status of the species (e.g., life history, habitat conditions, and threats).",Non-target
"The Helotes mold beetle (Coleoptera: Staphylinidae: Pselaphinae: Batrisodes venyivi Chandler 1992) is a small, eyeless beetle endemic to a restricted range in the karst landscape of northern Bexar County, Texas (Chandler 1992, pp. 241, 243-244, 247; Chandler and Reddell 2001, pp. 116, 127; Chandler et al. 2009, p. 136).",Non-target
"Of the 25 Pselaphinae associated with caves in Texas, 14 are troglobitic (i.e., species adapted to subterranean habitats that must complete their life cycle underground) (Chandler et al. 2009, pp. 126, 136).",Non-target
"Most pselpahines are predators and the Helotes mold beetle likely requires a source of food in the form of other invertebrates such as mites and springtails (Park 1960, p. 99; Newton and Thayer 1995, p. 303; Taylor et al. 2005, pp. 10, 29; Schomann et al. 2008, pp. 891-906; Ferro and Carlton 2014, p. 8).",Non-target
Impacts to a cave’s surface or subsurface drainage basin can be a significant source of stressors for Helotes mold beetle populations.,Threat
Land conversion to residential and commercial development has already reduced and degraded surface habitats surrounding a number of occupied sites.,Threat
"The review contains new information since the species status assessment was developed in 2016 (USFWS 2016), which informed the listing decision in 2017 (82 FR 3186).",Non-target
Most observations of the rusty patched bumble bee are of a single individual or small numbers of bees at each location.,Non-target
The reduction of habitat quality and quantity is one of the main factors contributing to pollinator decline.,Threat
Study what affects queen survival and nesting success,Recommendation
Study the nutritional needs of the species,Recommendation
Minimize and reduce threats that are negatively contributing to the survival and reproductive success of the species.,Recommendation
Continue to refine guidance and resources as new information becomes available.,Recommendation
"The purpose of this 5-year review is to review new information since the last review of the species’ status (the time of listing, 2012) and consider whether any of this information indicates that a change in the listing status of the rayed bean may be warranted.",Non-target
"At the time of listing, the Tippecanoe darter (Etheostoma tippecanoe) was the only reported known host fish for the rayed bean.",Non-target
"At the time of listing, the rayed bean was thought to be extant in 31 streams and 1 lake in 7 states and 1 Canadian province",Non-target
"In 2015, one extant population was discovered in Michigan in the River Raisin and two extant populations were discovered in New York in Oil and Oswayo Creeks (TRC Environmental Corporation 2015; EcoLogic, LLC 2014b; EcoLogic, LLC 2015).",Non-target
Threats to the stream include stormwater and agricultural runoff and habitat degradation (TMACOG and LSWCD 2011).,Threat
"Due to the imminent threat of the sedimentation, all of the live rayed bean found during the 2014 survey were relocated to an upstream location not being affected by the flow diversion or the pipeline project",Threat
"At the time of listing, destruction, modification, and curtailment of the species range was considered to be a threat to the species.",Threat
"At the time of listing, the inadequacy of existing regulatory mechanisms was considered to be a threat to the species.",Threat
"Exotic species, including the zebra mussel (Dreissena polymorpha), Asian clam (Corbicula fluminea), round goby (Neogobius melanostomus), and black carp (Mylopharyngodon piceus), threaten the rayed bean, or its host fish, or both, through mechanisms such as habitat modification, competition, and predation.",Threat
"If rediscovered, conduct research on the species to clarify life history and key threats, including breeding biology, population dynamics, and other seasonality.",Recommendation
"Feral ungulate management to protect existing limestone forest and the host plants from feral ungulates, which may also threatened any presence of butterfly eggs.",Recommendation
"Establish protected areas containing sufficient limestone forest resources, including high-densities of the putative host plant, Maytenus thompsonii.",Recommendation
"If rediscovered, consider establishing a captive propagation and reintroduction plan to increase the number of populations and the resiliency of remaining populations.",Recommendation
"When the shrimp was listed as endangered in 1988 (52 FR 43884-43889), we identified agricultural activities, residential development, water pollution, water diversions, recreation activities (summer dams), chemicals, and channelization as threats to its habitat.",Threat
"Additional threats were noted in the recovery plan and included gravel mining, water development, urban runoff, flood control, and bank protection.",Threat
The listing rule inferred “destruction and degradation from overgrazing and trampling of H. clevelandii by domestic cattle is considered to be the primary factor responsible for its decline” (62 FR 2317).,Threat
"Anecdotal observations of current habitat conditions for the Laguna Mountains skipper suggest that a majority of remaining suitable habitat has been and continues to be negatively impacted due to fragmentation, continued overgrazing, and human recreational presence.",Threat
"At the time of the listing, collecting pressure was indicated to be a threat to the subspecies (62 FR 2318).",Threat
"Parasitism has been identified as a threat to the subspecies; Laguna Mountain skipper eggs have been heavily parasitized by Trichograma brevacapalum, a parasitic wasp (Mattoni and Longcore 1998, Pratt 2000).",Threat
We did not receive any information from the public about arroyo toad in response to the notice.,Non-target
We also contacted species experts to request any data or information we should consider in our review.,Non-target
"Arroyo toads require two habitats to complete their annual life cycle: low-gradient streams with sandy, gravelly soils (aquatic breeding habitat) and terrestrial uplands with sandy soils for foraging and overwintering (upland habitat; Sweet 1992, pp. 23–28; Mitrovich et al. 2011, pp. 319, 323–327).",Non-target
"Reproduction is dependent upon the availability of very shallow, still, or low-flow pools within streams where breeding, egg-laying, and tadpole development occur.",Non-target
