,TaxonID,ScientificName,ListingStatus,ListingLocality,ListingDates,SpeciesStatusAssessmentDates,SpeciesStatusAssessmentURLs,SpeciesStatusAssesmentTitles,RecoveryPlanDates,RecoveryPlanURLs,RecoveryPlanTitles,ReviewDates,ReviewURLs,ReviewTitles,CriticalHabitatDesignationDates,CriticalHabitatDesignationURLs,CriticalHabitatDesignationTitles
0,2038,Acanthomintha obovata ssp. duttonii,Endangered,Wherever found,09-18-1985,,,,09-26-2019; 09-30-1998,https://ecos.fws.gov/docs/recovery_plan/APG amendment seven serpentine species.pdf; https://ecos.fws.gov/docs/recovery_plan/980930c_v2.pdf,None; None,05-04-2021; 08-10-2010,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/959.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1677.pdf,None; None,,,
0,2776,Acanthorutilus handlirschi,Endangered,Wherever found,06-02-1970,,,,,,,,,,,,
0,8925,acarospora clauzadeana,,,,,,,,,,,,,,,
0,8352,Accipiter cooperii,,,,,,,,,,,,,,,
0,4612,Accipiter fasciatus natalis,Endangered,Wherever found,06-02-1970,,,,,,,,,,,,
0,7636,Accipiter francesii pusillus,Endangered,Wherever found,06-02-1970,,,,,,,,,,,,
0,34,Accipiter gentilis,,,,,,,,,,,,,,,
0,6751,Accipiter gentilis laingi,,,08-31-2012,,,,,,,,,,,,
0,8835,Accipiter striatus,,,,,,,,,,,,,,,
0,604,Accipiter striatus venator,Endangered,Wherever found,09-09-1994,,,,09-27-2019; 09-08-1997,https://ecos.fws.gov/docs/recovery_plan/Puerto Rican Broad-Winged Hawk Recovery Plan Amendment.pdf; https://ecos.fws.gov/docs/recovery_plan/970908.pdf,None; None,08-11-2023; 09-07-2018,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/5787.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2586.pdf,None; None,,,
0,6670,Acer grandidentatum sinuosum,,,,,,,,,,,,,,,
0,304,Achatinella spp.,Endangered,Wherever found,02-12-1981,,,,08-07-2019; 06-30-1992,https://ecos.fws.gov/docs/recovery_plan/Achatinella_Final_Recovery_Plan_Amendment_20190807.pdf; https://ecos.fws.gov/docs/recovery_plan/920630.pdf,None; None,09-30-2019; 09-20-2011,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2882.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1788.pdf,None; None,,,
0,5975,Achnatherum contractum,,,,,,,,,,,,,,,
0,4284,Achnatherum curvifolium,,,,,,,,,,,,,,,
0,5379,Achnatherum swallenii,,,,,,,,,,,,,,,
0,2287,Achyranthes atollensis,,,,,,,,,,,,,,,
0,5667,Achyranthes mutica,Endangered,Wherever found,10-10-1996,,,,07-10-1999,https://ecos.fws.gov/docs/recovery_plan/990710.pdf,None,09-28-2020; 06-25-2015; 04-07-2009,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3101.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2258.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1361.pdf,None; None; None,07-02-2003,https://www.govinfo.gov/link/fr/68/39623?link-type=pdf,None
0,6671,Achyranthes splendens splendens,,,,,,,,,,,,,,,
0,4709,Achyranthes splendens var. rotundata,Endangered,Wherever found,03-26-1986,,,,10-05-1993,https://ecos.fws.gov/docs/recovery_plan/931005.pdf,None,09-29-2020; 08-07-2013; 07-22-2009,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3149.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2055.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1362.pdf,None; None; None,09-18-2012,https://www.govinfo.gov/link/fr/77/57647?link-type=pdf,None
0,5719,Acinonyx jubatus,Endangered,Wherever found,06-02-1970,,,,,,,,,,,,
0,9253,Acipenser baerii,,,,,,,,,,,,,,,
0,6635,Acipenser brevirostrum,Endangered,Wherever found,03-11-1967,,,,,,,,,,,,
0,9254,Acipenser dabryanus,Endangered,Wherever found,05-26-2021,,,,,,,,,,,,
0,462,Acipenser fulvescens,,,08-15-2019,,,,,,,,,,,,
0,9255,Acipenser gueldenstaedtii,,,,10-01-2020,https://ecos.fws.gov/ServCat/DownloadFile/217915,None,,,,,,,,,
0,2329,Acipenser medirostris,,,06-06-2006; ,,,,,,,,,,,,
0,10377,Acipenser mikadoi,Endangered,Wherever found,09-04-2014,,,,,,,,,,,,
0,9747,Acipenser naccarii,Endangered,Wherever found,09-04-2014,,,,,,,,,,,,
0,9256,Acipenser nudiventris,,,,10-01-2020,https://ecos.fws.gov/ServCat/DownloadFile/217915,None,,,,,,,,,
0,651,Acipenser oxyrinchus (=oxyrhynchus) desotoi,Threatened,Wherever found,09-30-1991,,,,09-22-1995,https://ecos.fws.gov/docs/recovery_plan/950922.pdf,None,06-01-2022; 09-30-2009,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3737.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1501.pdf,None; None,03-19-2003,https://www.govinfo.gov/link/fr/68/13370?link-type=pdf,None
0,3252,Acipenser oxyrinchus oxyrinchus,,,02-06-2012; 02-06-2012; 02-06-2012; 02-06-2012; 02-06-2012,,,,,,,,,,,,
0,9257,Acipenser persicus,,,,10-01-2020,https://ecos.fws.gov/ServCat/DownloadFile/217915,None,,,,,,,,,
0,9258,Acipenser schrenckii,,,,07-01-2020,https://ecos.fws.gov/ServCat/DownloadFile/215716,None,,,,,,,,,
0,9749,Acipenser sinensis,Endangered,Wherever found,09-04-2014,,,,,,,,,,,,
0,9281,Acipenser stellatus,,,,10-01-2020,https://ecos.fws.gov/ServCat/DownloadFile/217915,None,,,,,,,,,
0,9750,Acipenser sturio,Endangered,Wherever found,09-04-2014,,,,,,,,,,,,
0,8241,Acipenser transmontanus,,,; 09-06-1994,,,,09-23-2019,https://ecos.fws.gov/docs/recovery_plan/Kootenai_River_White_Sturgeon_Revised_Recovery_Plan_20190923.pdf,None,09-25-2018; 08-09-2011,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2603.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1749.pdf,None; None,07-09-2008,https://www.govinfo.gov/link/fr/73/39506?link-type=pdf,None
0,1041,Acleisanthes crassifolia,,,,,,,,,,,,,,,
0,1891,Acmispon dendroideus var. traskiae,,,09-12-1977,08-01-2022; 03-01-2020,https://ecos.fws.gov/ServCat/DownloadFile/228018; https://ecos.fws.gov/ServCat/DownloadFile/199556,None; None,01-26-1984,https://ecos.fws.gov/docs/recovery_plan/840126.pdf,None,01-25-2023; 05-05-2021; 07-26-2013; 07-10-2012; 05-16-2012; 09-24-2007,https://www.govinfo.gov/link/fr/88/4761; https://www.govinfo.gov/link/fr/86/23882?link-type=pdf; https://www.govinfo.gov/link/fr/78/45405?link-type=pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1915.pdf; https://www.govinfo.gov/link/fr/77/29078?link-type=pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1107.pdf,None; None; None; None; None; None,,,
0,8259,Acneus beeri,,,,,,,,,,,,,,,
0,3543,Acneus burnelli,,,,,,,,,,,,,,,
0,1450,Aconitum noveboracense,Threatened,Wherever found,05-27-1978,,,,09-23-1983,https://ecos.fws.gov/docs/recovery_plan/830923.pdf,None,,,,,,
0,6960,Acrocephalus caffer longirostris,,,,,,,,,,,,,,,
0,5942,Acrocephalus familiaris kingi,Endangered,Wherever found,03-11-1967,,,,08-20-2019; 10-04-1984,https://ecos.fws.gov/docs/recovery_plan/NWHI_Passerine_Final_Recovery_Plan_Amendment_20190820.pdf; https://ecos.fws.gov/docs/recovery_plan/841004.pdf,None; None,08-04-2022; 08-15-2017; 08-27-2010,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3821.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2398.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1647.pdf,None; None; None,,,
0,6586,Acrocephalus luscinia,Endangered,Wherever found,06-02-1970,,,,04-10-1998,https://ecos.fws.gov/docs/recovery_plan/980410a.pdf,None,08-28-2020; 07-23-2015; 07-08-2010,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3073.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2263.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1574.pdf,None; None; None,,,
0,4500,Acrocephalus percernis aquilonis,Endangered,Wherever found,09-12-2011,,,,,,,,,,,,
0,2811,Acrolophitus pulchellus,,,,,,,,,,,,,,,
0,5403,Acroloxus coloradensis,,,,,,,,,,,,,,,
0,9914,Acroneuria kosztarabi,,,,,,,,,,,,,,,
0,662,Acronicta albarufa,,,,,,,,,,,,,,,
0,8929,Acropora cervicornis,Threatened,Wherever found,06-08-2006,,,,,,,,,,11-26-2008,https://www.govinfo.gov/link/fr/73/72210?link-type=pdf,None
0,9332,Acropora globiceps,Threatened,Wherever found,11-13-2014,,,,,,,,,,,,
0,9319,Acropora jacquelinae,Threatened,Wherever found,11-13-2014,,,,,,,,,,,,
0,9320,Acropora lokani,Threatened,Wherever found,11-13-2014,,,,,,,,,,,,
0,8928,Acropora palmata,Threatened,Wherever found,06-08-2006,,,,,,,,,,11-26-2008,https://www.govinfo.gov/link/fr/73/72210?link-type=pdf,None
0,9338,Acropora pharaonis,Threatened,Wherever found,11-13-2014,,,,,,,,,,,,
0,9340,Acropora retusa,Threatened,Wherever found,11-13-2014,,,,,,,,,,,,
0,9321,Acropora rudis,Threatened,Wherever found,11-13-2014,,,,,,,,,,,,
0,9341,Acropora speciosa,Threatened,Wherever found,11-13-2014,,,,,,,,,,,,
0,9343,Acropora tenella,Threatened,Wherever found,11-13-2014,,,,,,,,,,,,
0,1111,Actinemys marmorata,,,,04-01-2023,https://ecos.fws.gov/ServCat/DownloadFile/241273,None,,,,,,,,,
0,1833,Actinemys marmorata,,,,04-01-2023,https://ecos.fws.gov/ServCat/DownloadFile/238768,None,,https://ecos.fws.gov/docs/recovery_plan/WPT RCC Strategy 2020.pdf,None,,,,,,
0,4768,Actinemys pallida,,,,04-01-2023,https://ecos.fws.gov/ServCat/DownloadFile/241273,None,,,,,,,,,
0,6484,Actinostachys pennula,,,,,,,,,,,,,,,
0,1486,Addax nasomaculatus,Endangered,Wherever found,09-02-2005,,,,,,,,,,,,
0,905,Adella oplerella,,,,,,,,,,,,,,,
0,7122,Adelocosa anops,Endangered,Wherever found,01-14-2000,,,,08-27-2021,https://ecos.fws.gov/docs/recovery_plan/Final_KIRP_ExecSum_Hyperlinks_A.pdf,None,08-04-2022; 09-05-2017; 09-29-2006,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3812.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2407.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1030.pdf,None; None; None,04-09-2003,https://www.govinfo.gov/link/fr/68/17430?link-type=pdf,None
0,1916,Adenophorus periens,Endangered,Wherever found,11-10-1994,,,,07-10-1999,https://ecos.fws.gov/docs/recovery_plan/990710.pdf,None,08-31-2021; 06-30-2015; 08-27-2010,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3507.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2268.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1599.pdf,None; None; None,03-30-2016,https://www.govinfo.gov/link/fr/81/17789?link-type=pdf,None
0,7864,Adhemarius blanchardorum,,,,,,,,,,,,,,,
0,7811,Adiantum vivesii,,,06-09-1993,,,,09-27-2019; 01-17-1995,https://ecos.fws.gov/docs/recovery_plan/Puerto Rican Endangered Ferns Recovery Plan Amendment_1.pdf; https://ecos.fws.gov/docs/recovery_plan/950117.pdf,None; None,09-25-2018; 06-05-2008,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2598.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1266.pdf,None; None,,,
0,5140,Adolphia californica,,,,,,,,,,,,,,,
0,6743,aechmophorus occidentalis,,,,,,,,,,,,,,,
0,8066,Aegialia concinna,,,,,,,,,,,,,,,
0,1037,Aegialia crescenta,,,,,,,,,,,,,,,
0,3985,Aegialia hardyi,,,,,,,,,,,,,,,
0,7032,Aegialia magnifica,,,,,,,,,,,,,,,
0,155,Aepyceros melampus petersi,Endangered,Wherever found,06-02-1970,,,,,,,,,,,,
0,8166,Aerodramus bartschi,Endangered,Wherever found,08-27-1984,,,,08-20-2019; 09-30-1991,https://ecos.fws.gov/docs/recovery_plan/Mariana_Swiftlet_Final_Recovery_Plan_Amendment_20190820.pdf; https://ecos.fws.gov/docs/recovery_plan/910930a.pdf,None; None,09-29-2020; 08-06-2015; 08-27-2010,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3130.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2284.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1660.pdf,None; None; None,,,
0,2472,Aerva sericea,,,,,,,,,,,,,,,
0,9918,Aeschynomene pratensis,,,,,,,,,,,,,,,
0,855,Aeschynomene virginica,Threatened,Wherever found,05-20-1992,,,,09-29-1995,https://ecos.fws.gov/docs/recovery_plan/950929b.pdf,None,09-25-2013,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2132.pdf,None,,,
0,8807,afilia species,,,,,,,,,,,,,,,
0,5407,Aflexia rubranura,,,,,,,,,,,,,,,
0,7558,Agabus rumppi,,,,,,,,,,,,,,,
0,8128,Agalinis acuta,Endangered,Wherever found,09-07-1988,,,,09-20-1989,https://ecos.fws.gov/docs/recovery_plan/890920.pdf,None,06-19-2019,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2723.pdf,None,,,
0,8053,Agalinis auriculata,,,,,,,,,,,,,,,
0,10115,Agalinis navasotensis,,,,02-01-2020,https://ecos.fws.gov/ServCat/DownloadFile/232583,None,,,,,,,06-13-2023,https://www.govinfo.gov/link/fr/88/38455,None
0,8286,Agalinis purpurea carteri,,,,,,,,,,,,,,,
0,3813,Agalinis setacea,,,,,,,,,,,,,,,
0,8899,agapema galbina,,,,,,,,,,,,,,,
0,333,Agapetus artesus,,,,,,,,,,,,,,,
0,4421,Agapetus denningi,,,,,,,,,,,,,,,
0,487,Agapetus jocassee,,,,,,,,,,,,,,,
0,1786,Agapetus medicus,,,,,,,,,,,,,,,
0,2354,Agarodes alabamensis,,,,,,,,,,,,,,,
0,9820,Agarodes logani,,,,,,,,,,,,,,,
0,5650,Agarodes stannardi,,,,,,,,,,,,,,,
0,1409,Agarodes ziczac,,,,,,,,,,,,,,,
0,5015,Agastache cusickii,,,,,,,,,,,,,,,
0,556,Agastache parvifolia,,,,,,,,,,,,,,,
0,8901,agathon arizonicus,,,,,,,,,,,,,,,
0,1708,Agave arizonica,,,05-18-1984,,,,,,,,,,,,
0,7039,Agave eggersiana,Endangered,Wherever found,10-09-2014,,,,08-09-2022,https://ecos.fws.gov/docs/recovery_plan/Recovery Plan_ Agave eggersiana.2022 04 21.pdf,None,08-20-2021,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3413.pdf,None,09-09-2014,https://www.govinfo.gov/link/fr/79/53315?link-type=pdf,None
0,1154,Agave glomeruliflora,,,,,,,,,,,,,,,
0,6135,Agave mckelveyana,,,,,,,,,,,,,,,
0,8523,Agave murpheyi,,,,,,,,,,,,,,,
0,5349,Agave parviflora parviflora,,,,,,,,,,,,,,,
0,2830,Agave schottii treleasei,,,,,,,,,,,,,,,
0,4228,Agave shawii,,,,,,,,,,,,,,,
0,4563,Agave sp.,,,,,,,,,,,,,,,
0,5308,Agave toumeyana bella,,,,,,,,,,,,,,,
0,6410,Agave utahensis eborispina,,,,,,,,,,,,,,,
0,6136,Agave utahensis kaibabensis,,,,,,,,,,,,,,,
0,680,Agave utahensis nevadensis,,,,,,,,,,,,,,,
0,3910,Agelaius tricolor,,,,02-20-2019,https://ecos.fws.gov/ServCat/DownloadFile/166302,None,,,,,,,,,
0,7383,Agelaius xanthomus,Endangered,Wherever found,12-12-1976,,,,09-27-2019; 11-12-1996,https://ecos.fws.gov/docs/recovery_plan/Yellow-shouldered Blackbird Recovery Plan Amendment.pdf; https://ecos.fws.gov/docs/recovery_plan/961112a.pdf,None; None,08-22-2023; 09-24-2018; 02-02-2011,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/6546.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2599.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1698.pdf,None; None; None,09-22-1977,https://www.govinfo.gov/link/fr/42/47840?link-type=pdf,None
0,6181,Agelastes meleagrides,Threatened,Wherever found,01-12-1995,,,,,,,,,,,,
0,6726,Ageratina luciae-brauniae,,,,,,,,,,,,,,,
0,7151,Ageratina shastensis,,,,,,,,,,,,,,,
0,5643,Agonum belleri,,,,,,,,,,,,,,,
0,4507,Agosia chrysogaster,,,,,,,,,,,,,,,
0,7517,Agrilus harenus,,,,,,,,,,,,,,,
0,5016,Agrimonia incisa,,,,,,,,,,,,,,,
0,7604,Agrostis blasdalei blasdalei,,,,,,,,,,,,,,,
0,946,Agrostis blasdalei marinensis,,,,,,,,,,,,,,,
0,3897,Agrostis clivicola clivicola,,,,,,,,,,,,,,,
0,6947,Agrostis clivicola punta-reyesensis,,,,,,,,,,,,,,,
0,2363,Agrostis hendersonii,,,,,,,11-06-2012,https://ecos.fws.gov/docs/recovery_plan/Rogue&Illinois Valley Final Recovery Plan 031913.pdf,None,,,,,,
0,4534,Agrostis howellii,,,,,,,,,,,,,,,
0,4296,Agrostis microphylla,,,,,,,,,,,,,,,
0,5309,Agrostis rossiae,,,,,,,,,,,,,,,
0,7860,Agrotis buchholzi,,,,,,,,,,,,,,,
0,6940,Agrotis cremata,,,,,,,,,,,,,,,
0,5447,Agrotis crinigera,,,,,,,,,,,,,,,
0,3557,Agrotis fasciata,,,,,,,,,,,,,,,
0,213,Agrotis kerri,,,,,,,,,,,,,,,
0,5001,Agrotis laysanensis,,,,,,,,,,,,,,,
0,1414,Agrotis melanoneura,,,,,,,,,,,,,,,
0,8093,Agrotis microreas,,,,,,,,,,,,,,,
0,2691,Agrotis potophila,,,,,,,,,,,,,,,
0,1796,Agrotis procellaris,,,,,,,,,,,,,,,
0,8900,agylla septentrionalis,,,,,,,,,,,,,,,
0,6600,Ailuropoda melanoleuca,Endangered,Wherever found,01-23-1984,,,,,,,,,,,,
0,6177,Aimophila aestivalis,,,,,,,,,,,,,,,
0,1760,Aimophila botterii texana,,,,,,,,,,,,,,,
0,9512,Aimophila cassinii,,,,,,,,,,,,,,,
0,9718,Aimophila ruficeps,,,,,,,,,,,,,,,
0,5114,Aimophila ruficeps canescens,,,,,,,,,,,,,,,
0,152,Aimophila ruficeps rupicola,,,,,,,,,,,,,,,
0,10527,Aipysurus fuscus,Endangered,Wherever found,11-06-2015,,,,,,,,,,,,
0,1119,Akialoa stejnegeri,,,03-11-1967,,,,08-27-2021,https://ecos.fws.gov/docs/recovery_plan/Final_KIRP_ExecSum_Hyperlinks_A.pdf,None,10-17-2023; 03-28-2019; 07-31-2009,https://www.govinfo.gov/link/fr/88/71644; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2692.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1434.pdf,None; None; None,,,
0,2790,Alabameubria starki,,,,,,,,,,,,,,,
0,8475,Alasmidonta arcula,,,,,,,,,,,,,,,
0,1248,Alasmidonta atropurpurea,Endangered,Wherever found,01-10-1997,,,,05-04-2004,https://ecos.fws.gov/docs/recovery_plan/040524.pdf,None,07-12-2022; 07-16-2015; 01-24-2007,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3755.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2345.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1037.pdf,None; None; None,08-31-2004,https://www.govinfo.gov/link/fr/69/53136?link-type=pdf,None
0,784,Alasmidonta heterodon,Endangered,Wherever found,03-14-1990,,,,02-08-1993,https://ecos.fws.gov/docs/recovery_plan/dwm recovery plan.pdf,None,08-28-2019; 04-17-2013; 07-25-2007,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2774.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2335.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1069.pdf,None; None; None,,,
0,8220,Alasmidonta marginata,,,,,,,,,,,,,,,
0,3255,Alasmidonta mccordi,,,,,,,,,,,,,,,
0,5039,Alasmidonta raveneliana,Endangered,Wherever found,11-23-1994,,,,08-26-1996,https://ecos.fws.gov/docs/recovery_plan/960826.pdf,None,07-29-2022; 08-28-2017; 03-03-2009,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3854.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2386.pdf; https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1317.pdf,None; None; None,09-27-2002,https://www.govinfo.gov/link/fr/67/61016?link-type=pdf,None
0,917,Alasmidonta robusta,,,,,,,,,,,,,,,
0,9871,Alasmidonta triangulata,,,,12-01-2023; 12-01-2022,https://ecos.fws.gov/ServCat/DownloadFile/244563; https://ecos.fws.gov/ServCat/DownloadFile/225914,None; None,,,,,,,06-21-2023,https://www.govinfo.gov/link/fr/88/40160,None
0,785,Alasmidonta varicosa,,,,07-17-2018,https://ecos.fws.gov/ServCat/DownloadFile/164394,None,,,,,,,,,
0,7412,Alasmidonta wrightiana,,,,,,,,,,,,,,,
0,605,Alauda razae,Endangered,Wherever found,01-12-1995,,,,,,,,,,,,
0,8911,albiorix anophthalmus,,,,,,,,,,,,,,,
0,2874,Alcelaphus buselaphus swaynei,Endangered,Wherever found,07-27-1979,,,,,,,,,,,,
